# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0001/ ",0078
"2011015-0VINIL UNITRAMA UT100GP (NV5002) C/ 1,52mt-. ",,"76,00 ","M2 ","7,81 ","379,19 ","593,50","36,11%"
,"Total : ",,,,,,
,,"129,00 ",,"7,84","632,54 ","1.011,00","37,43%"
,"TOTAL CIDADE: ","369,00 ",,,"1.811,72 ","3.006,00","39,73%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0067/ ",0078
PB,SANTA RITA,,,,,,
"10.113 ",CARTUCHO DE TONER | BROTHER,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3943-0 ","CART. DE TONER COMP. COM BROTHER TN660/630/2340/2370 2,6K EVOLUT(CX C/ 10)-. ","2,00 ","PC ","35,00 ","29,14 ","70,00","58,37%"
,"Total : ",,,,,,
,,"2,00 ",,"35,00","29,14 ","70,00","58,37%"
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12182-0 ","TINTA INKBANK UNIVERSAL ET365 BK 1L (CX C/ 20)-. ","4,00 ","UN ","36,00 ","70,43 ","144,00","51,09%"
"12192-0 ","TINTA INKBANK UNIVERSAL ET365 CYAN 1L (CX C/ 20)-. ","1,00 ","UN ","37,00 ","18,00 ","37,00","51,35%"
"12184-0 ","TINTA INKBANK UNIVERSAL ET365 MAGENTA 1L (CX C/ 20)-. ","1,00 ","UN ","37,00 ","17,92 ","37,00","51,57%"
"12163-0 ","TINTA INKBANK UNIVERSAL ET365/664 BLACK 100ML (CX C/ 100)-. ","9,00 ","UN ","6,00 ","23,27 ","54,00","56,91%"
"12164-0 ","TINTA INKBANK UNIVERSAL ET365/664 CYAN 100ML (CX C/ 100)-. ","4,00 ","UN ","6,00 ","10,38 ","24,00","56,75%"
"12165-0 ","TINTA INKBANK UNIVERSAL ET365/664 MAG 100ML (CX C/ 100)-. ","7,00 ","UN ","6,00 ","18,10 ","42,00","56,90%"
"12166-0 ","TINTA INKBANK UNIVERSAL ET365/664 YELL 100ML (CX C/ 100)-. ","7,00 ","UN ","6,00 ","18,10 ","42,00","56,90%"
,"Total : ",,,,,,
,,"33,00 ",,"11,52","176,20 ","380,00","53,63%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011101-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,27mt-. ",,"190,50 ","M2 ","5,43 ","646,26 ","1.035,05","37,56%"
"2011104-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,52mt-. ",,"76,00 ","M2 ","5,76 ","262,52 ","437,76","40,03%"
"2011044-0VINIL UNITRAMA ONE WAY VISION (NO2310T) PERFURADO C/ 1.06mt-. ",,"53,00 ","M2 ","12,00 ","369,02 ","636,00","41,98%"
"2011006-0VINIL UNITRAMA UT100BK ( NV2112/2204 ) C/ 1.27mt-. ",,"63,50 ","M2 ","6,90 ","250,72 ","438,15","42,78%"
,"Total : ",,,,,,
,,"383,00 ",,"6,65","1.528,52 ","2.546,96","39,99%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013123-0ACM SIGNBOND AZUL ESCURO ALTO BRILHO 3mm 1.22 x 5.00mt T808-. ",,"1,00 ","UN ","442,00 ","264,84 ","442,00","40,08%"
"2013124-0ACM SIGNBOND BRANCO ALTO BRILHO 3mm 1.22 x 5.00mt T805-. ",,"6,00 ","UN ","401,00 ","1.522,13 ","2.406,00","36,74%"
,"Total : ",,,,,,
,,"7,00 ",,"406,86","1.786,96 ","2.848,00","37,26%"
,2003.2054 ACM | PVDF,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013167-0ACM UNIBOND ARCHIE BRANCO FOSCO PVDF4mm (0.30) 1.50 x 5.00mt (UNI8813)-. ",,"2,00 ","UN ","1.200,00 ","1.378,99 ","2.400,00","42,54%"
,"Total : ",,,,,,
,,"2,00 ",,"1.200,00","1.378,99 ","2.400,00","42,54%"
,2020.2016 CHAPA PVC | UNIPOL,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2019103-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 10MM-. ",,"2,00 ","UN ","176,00 ","211,05 ","352,00","40,04%"
,"Total : ",,,,,,
,,"2,00 ",,"176,00","211,05 ","352,00","40,04%"
,2026.2033 ACRILICO | BOLD,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20260119-0ACRILICO BOLD CAST LARANJA 2MM 1,00 X 2,00MT REF.LA460-. ",,"2,00 ","UN ","315,00 ","376,51 ","630,00","40,24%"
"20260059-0ACRILICO BOLD ESPELHADO DOURADO 2MM 1,00 X 2,00MT-. ",,"1,00 ","UN ","326,00 ","195,57 ","326,00","40,01%"
,"Total : ",,,,,,
,,"3,00 ",,"318,67","572,07 ","956,00","40,16%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0068/ ",0078
PB,SANTA RITA,,,,,,
,2030.2005 ACESSÓRIOS SIGN | FITA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2015045-0FITA FUSION DUPLA FACE P/ ACM BRANCA 1,6 MM 19 X 20 MM-. ",,"8,00 ","UN ","83,75 ","382,73 ","670,00","42,88%"
"2015041-0FITA NORBOND AD 2163F-3BI 19mmX20m-. ",,"2,00 ","UN ","110,00 ","130,56 ","220,00","40,65%"
,"Total : ",,,,,,
,,"10,00 ",,"89,00","513,29 ","890,00","42,33%"
,"TOTAL CIDADE: ","442,00 ",,,"6.196,24 ","10.442,96","40,67%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0069/ ",0078
PB,SAO BENTO,,,,,,
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12146-0 ","TINTA INKBANK EPSON E850 BLACK 1LT (CX C/ 20)-. ","5,00 ","UN ","40,00 ","107,81 ","200,00","46,09%"
"12147-0 ","TINTA INKBANK EPSON E850 CYAN 1LT (CX C/ 20)-. ","5,00 ","UN ","40,00 ","107,95 ","200,00","46,02%"
"12148-0 ","TINTA INKBANK EPSON E850 MAG 1LT (CX C/ 20)-. ","5,00 ","UN ","40,00 ","107,87 ","200,00","46,06%"
"12149-0 ","TINTA INKBANK EPSON E850 YELL 1LT (CX C/ 20)-. ","4,00 ","UN ","40,00 ","86,31 ","160,00","46,06%"
,"Total : ",,,,,,
,,"19,00 ",,"40,00","409,94 ","760,00","46,06%"
,"TOTAL CIDADE: ","19,00 ",,,"409,94 ","760,00","46,06%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0070/ ",0078
PB,SAO SEBASTIAO DE LAGOA DE ROCA,,,,,,
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011100-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,06mt-. ",,"212,00 ","M2 ","5,73 ","731,53 ","1.214,60","39,77%"
,"Total : ",,,,,,
,,"212,00 ",,"5,73","731,53 ","1.214,60","39,77%"
,"TOTAL CIDADE: ","212,00 ",,,"731,53 ","1.214,60","39,77%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0071/ ",0078
PBSAPE,,,,,,,
"10.100 ",CARTUCHO DE TONER | HP,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3000-0 ","CART. DE TONER COMP. COM PM 2612 2K EVOLUT(CX C/ 20)-. ","2,00 ","PC ","60,00 ","33,29 ","120,00","72,26%"
"3162-0 ","CART. DE TONER COMP. COM PM CB435/436/285/278 U 2K EVOLUT(CX C/ 20)-. ","3,00 ","PC ","45,00 ","49,93 ","135,00","63,01%"
"3149-0 ","CART. DE TONER COMP. COM PM CF283A M125/M126/M127/M128 1,5K EVOLUT(CX C/ 12)-. ","7,00 ","PC ","45,00 ","116,51 ","315,00","63,01%"
,"Total : ",,,,,,
,,"12,00 ",,"47,50","199,73 ","570,00","64,96%"
"19.233 ",TINTA | HP/BULK INK/100ML,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"10736-0 ","TINTA BULK INK H971 MAGENTA 100ML (CX C/ 100)-. ","1,00 ","UN ","10,00 ","3,11 ","10,00","68,90%"
"10737-0 ","TINTA BULK INK H971 YELLOW 100ML (CX C/ 100)-. ","2,00 ","UN ","10,00 ","6,21 ","20,00","68,95%"
,"Total : ",,,,,,
,,"3,00 ",,"10,00","9,32 ","30,00","68,95%"
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12150-0 ","TINTA INKBANK EPSON E850/504/544 BLACK 70ML-. ","100,00 ","UN ","5,00 ","277,39 ","500,00","44,52%"
"12151-0 ","TINTA INKBANK EPSON E850/504/544 CYAN 70ML-. ","100,00 ","UN ","5,00 ","275,19 ","500,00","44,96%"
"12188-0 ","TINTA INKBANK EPSON EL8100/504/544 BLACK 70ML C/ CAIXA-. ","51,00 ","UN ","5,37 ","175,82 ","273,90","35,81%"
"12189-0 ","TINTA INKBANK EPSON EL8100/504/544 CYAN 70ML C/ CAIXA-. ","32,00 ","UN ","5,38 ","108,89 ","172,00","36,69%"
"12190-0 ","TINTA INKBANK EPSON EL8100/504/544 MAG 70ML C/ CAIXA-. ","29,00 ","UN ","5,36 ","98,57 ","155,50","36,61%"
"12191-0 ","TINTA INKBANK EPSON EL8100/504/544 YELL 70ML C/ CAIXA-. ","31,00 ","UN ","5,37 ","105,14 ","166,50","36,85%"
"12182-0 ","TINTA INKBANK UNIVERSAL ET365 BK 1L (CX C/ 20)-. ","3,00 ","UN ","35,00 ","52,83 ","105,00","49,69%"
"12192-0 ","TINTA INKBANK UNIVERSAL ET365 CYAN 1L (CX C/ 20)-. ","1,00 ","UN ","35,00 ","18,00 ","35,00","48,57%"
"12184-0 ","TINTA INKBANK UNIVERSAL ET365 MAGENTA 1L (CX C/ 20)-. ","1,00 ","UN ","35,00 ","17,92 ","35,00","48,80%"
"12186-0 ","TINTA INKBANK UNIVERSAL ET365 YELLOW 1L (CX C/ 20)-. ","1,00 ","UN ","35,00 ","17,97 ","35,00","48,66%"
"12165-0 ","TINTA INKBANK UNIVERSAL ET365/664 MAG 100ML (CX C/ 100)-. ","3,00 ","UN ","6,00 ","7,76 ","18,00","56,89%"
"12166-0 ","TINTA INKBANK UNIVERSAL ET365/664 YELL 100ML (CX C/ 100)-. ","4,00 ","UN ","6,00 ","10,34 ","24,00","56,92%"
,"Total : ",,,,,,
,,"356,00 ",,"5,67","1.165,81 ","2.019,90","42,28%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011100-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,06mt-. ",,"53,00 ","M2 ","5,80 ","182,88 ","307,40","40,51%"
,"Total : ",,,,,,
,,"53,00 ",,"5,80","182,88 ","307,40","40,51%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013123-0ACM SIGNBOND AZUL ESCURO ALTO BRILHO 3mm 1.22 x 5.00mt T808-. ",,"2,00 ","UN ","410,00 ","529,67 ","820,00","35,41%"
"2013127-0ACM SIGNBOND PRETO ALTO BRILHO 3mm 1.22 x 5.00mt T804-. ",,"2,00 ","UN ","400,00 ","530,56 ","800,00","33,68%"
,"Total : ",,,,,,
,,"4,00 ",,"405,00","1.060,23 ","1.620,00","34,55%"
,"TOTAL CIDADE: ","428,00 ",,,"2.617,97 ","4.547,30","42,43%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0072/ ",0078
PB,SOLANEA,,,,,,
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12172-0 ","TINTA INKBANK CANON C1800/CL190 BLACK 135 ML-. ","10,00 ","UN ","8,00 ","40,86 ","80,00","48,92%"
"12167-0 ","TINTA INKBANK CANON C1800/CL190 CYAN 70ML (CX C/ 100)-. ","5,00 ","UN ","8,00 ","13,29 ","40,00","66,78%"
"12168-0 ","TINTA INKBANK CANON C1800/CL190 MAG 70ML (CX C/ 100)-. ","5,00 ","UN ","8,00 ","13,29 ","40,00","66,78%"
"12169-0 ","TINTA INKBANK CANON C1800/CL190 YELL 70ML (CX C/ 100)-. ","5,00 ","UN ","8,00 ","13,29 ","40,00","66,78%"
"12147-0 ","TINTA INKBANK EPSON E850 CYAN 1LT (CX C/ 20)-. ","15,00 ","UN ","36,90 ","323,84 ","553,50","41,49%"
"12148-0 ","TINTA INKBANK EPSON E850 MAG 1LT (CX C/ 20)-. ","5,00 ","UN ","36,90 ","107,87 ","184,50","41,53%"
"12149-0 ","TINTA INKBANK EPSON E850 YELL 1LT (CX C/ 20)-. ","5,00 ","UN ","36,90 ","107,89 ","184,50","41,52%"
"12188-0 ","TINTA INKBANK EPSON EL8100/504/544 BLACK 70ML C/ CAIXA-. ","50,00 ","UN ","6,00 ","172,37 ","300,00","42,54%"
"12189-0 ","TINTA INKBANK EPSON EL8100/504/544 CYAN 70ML C/ CAIXA-. ","82,00 ","UN ","5,36 ","279,04 ","439,50","36,51%"
"12190-0 ","TINTA INKBANK EPSON EL8100/504/544 MAG 70ML C/ CAIXA-. ","37,00 ","UN ","5,53 ","125,77 ","204,50","38,50%"
"12191-0 ","TINTA INKBANK EPSON EL8100/504/544 YELL 70ML C/ CAIXA-. ","76,00 ","UN ","5,54 ","257,75 ","421,00","38,78%"
"12163-0 ","TINTA INKBANK UNIVERSAL ET365/664 BLACK 100ML (CX C/ 100)-. ","251,00 ","UN ","3,99 ","648,84 ","1.001,49","35,21%"
,"Total : ",,,,,,
,,"546,00 ",,"6,39","2.104,10 ","3.488,99","39,69%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011101-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,27mt-. ",,"127,00 ","M2 ","5,30 ","431,91 ","673,00","35,82%"
"2011023-0VINIL UNITRAMA INFLEX UT80GR POLIMERICO CC C/ 1,37mt (IV2200)-. ",,"68,50 ","M2 ","12,50 ","497,52 ","856,00","41,88%"
,"Total : ",,,,,,
,,"195,50 ",,"7,82","929,44 ","1.529,00","39,21%"
,2003.2052 ACM | UNIBOND 1.50,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013211-0ACM UNIBOND PINK ALTO BRILHO 3mm 1.50 x 5.00mt GMH 200407-. ",,"1,00 ","UN ","590,00 ","334,98 ","590,00","43,22%"
,"Total : ",,,,,,
,,"1,00 ",,"590,00","334,98 ","590,00","43,22%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013139-0ACM SIGNBOND GRAFITE 3mm 1.22 x 5.00mt 8863-. ",,"4,00 ","UN ","400,00 ","1.037,31 ","1.600,00","35,17%"
,"Total : ",,,,,,
,,"4,00 ",,"400,00","1.037,31 ","1.600,00","35,17%"
,2020.2016 CHAPA PVC | UNIPOL,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2019103-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 10MM-. ",,"6,00 ","UN ","171,97 ","633,15 ","1.031,80","38,64%"
,"Total : ",,,,,,
,,"6,00 ",,"171,97","633,15 ","1.031,80","38,64%"
,"TOTAL CIDADE: ","752,50 ",,,"5.038,98 ","8.239,79","38,85%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0073/ ",0078
PB,SOLEDADE,,,,,,
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013156-0ACM SIGNBOND IVORY WHITE 3mm 1.22 x 5.00mt 8815-. ",,"1,00 ","UN ","420,00 ","265,77 ","420,00","36,72%"
"2013127-0ACM SIGNBOND PRETO ALTO BRILHO 3mm 1.22 x 5.00mt T804-. ",,"2,00 ","UN ","397,50 ","530,18 ","795,00","33,31%"
,"Total : ",,,,,,
,,"3,00 ",,"405,00","795,96 ","1.215,00","34,49%"
,2020.2016 CHAPA PVC | UNIPOL,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2019121-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 05MM-. ",,"1,00 ","UN ","100,00 ","59,32 ","100,00","40,68%"
"2019103-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 10MM-. ",,"4,00 ","UN ","178,00 ","422,10 ","712,00","40,72%"
"2019111-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 15MM-. ",,"3,00 ","UN ","270,00 ","484,07 ","810,00","40,24%"
,"Total : ",,,,,,
,,"8,00 ",,"202,75","965,48 ","1.622,00","40,48%"
,2026.2001 ACRILICO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20260017-0ACRILICO UNIGLASS CRISTAL 3mm c/ 1,00mt X 2,00mt NEW-. ",,"2,00 ","UN ","289,00 ","340,75 ","578,00","41,05%"
"20260115-0ACRILICO UNIGLASS VERMELHO 2mm c/ 1,00mt X 2,00mt NEW-. ",,"1,00 ","UN ","215,00 ","128,64 ","215,00","40,17%"
,"Total : ",,,,,,
,,"3,00 ",,"264,33","469,39 ","793,00","40,81%"
,"TOTAL CIDADE: ","14,00 ",,,"2.230,83 ","3.630,00","38,54%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0074/ ",0078
PB,SOSSEGO,,,,,,
"19.237 ",TINTA | MARABU,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12198-0 ","TINTA MARAJET DI-E 439 MAGENTA GRF 1L-. ","1,00 ","UN ","279,00 ","166,50 ","279,00","40,32%"
,"Total : ",,,,,,
,,"1,00 ",,"279,00","166,50 ","279,00","40,32%"
,2001.2030 LONA | UNIBANNER FUNDO PRETO,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20115064-0LONA UNIBANNER BRILHO FRONTLIGHT F.P. 200*300 280g 3.20mt-. ",,"60,00 ","M2 ","6,30 ","212,79 ","378,00","43,71%"
,"Total : ",,,,,,
,,"60,00 ",,"6,30","212,79 ","378,00","43,71%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011045-0VINIL UNIPRO UT80 ECONOMY (BV2000/NV2010) GLOSSY C/ 1,06mt-. ",,"106,00 ","M2 ","5,04 ","319,87 ","534,10","40,11%"
,"Total : ",,,,,,
,,"106,00 ",,"5,04","319,87 ","534,10","40,11%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013138-0ACM SIGNBOND DOURADO 3mm 1.22 x 5.00mt 8810-. ",,"2,00 ","UN ","440,00 ","526,24 ","880,00","40,20%"
,"Total : ",,,,,,
,,"2,00 ",,"440,00","526,24 ","880,00","40,20%"
,2015.2012 PSAI | MAXPOLI,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2017503-0CHAPA PS RES PSAI 1,00 X 2,00 MT BRANCA* 180 (2mm)-. ",,"2,00 ","UN ","85,00 ","101,37 ","170,00","40,37%"
,"Total : ",,,,,,
,,"2,00 ",,"85,00","101,37 ","170,00","40,37%"
,2020.2016 CHAPA PVC | UNIPOL,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2019101-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 03MM-. ",,"1,00 ","UN ","60,00 ","36,86 ","60,00","38,57%"
"2019121-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 05MM-. ",,"1,00 ","UN ","99,00 ","59,32 ","99,00","40,08%"
"2019103-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 10MM-. ",,"1,00 ","UN ","180,00 ","105,53 ","180,00","41,37%"
,"Total : ",,,,,,
,,"3,00 ",,"113,00","201,71 ","339,00","40,50%"
,2030.2005 ACESSÓRIOS SIGN | FITA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2015046-0FITA FUSION DUPLA FACE P/ ACM BRANCA 1,6 MM 15 X 20 MM-. ",,"2,00 ","UN ","65,00 ","77,77 ","130,00","40,18%"
,"Total : ",,,,,,
,,"2,00 ",,"65,00","77,77 ","130,00","40,17%"
,"TOTAL CIDADE: ","176,00 ",,,"1.606,24 ","2.710,10","40,73%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0075/ ",0078
PB,SOUSA,,,,,,
"10.100 ",CARTUCHO DE TONER | HP,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"4114-0 ","CART. DE TONER COMP. COM PM 1105A/1107A 1K COM CHIP EVOLUT(CX C/ 15)-. ","5,00 ","PC ","35,00 ","109,32 ","175,00","37,53%"
"3162-0 ","CART. DE TONER COMP. COM PM CB435/436/285/278 U 2K EVOLUT(CX C/ 20)-. ","20,00 ","PC ","24,50 ","332,89 ","490,00","32,06%"
"4160-0 ","CART. DE TONER COMP. COM PM W1330X 330X C/CHIP 15K EVOLUT CX 10-. ","2,00 ","PC ","65,00 ","76,84 ","130,00","40,89%"
,"Total : ",,,,,,
,,"27,00 ",,"29,44","519,05 ","795,00","34,71%"
"10.113 ",CARTUCHO DE TONER | BROTHER,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"3462-0 ","CART. DE TONER COMP. COM BROTHER TN1060/DCP-1512/HL-1112 1K EVOLUT (CX C/ 20)-. ","20,00 ","PC ","15,10 ","201,21 ","302,00","33,37%"
"3943-0 ","CART. DE TONER COMP. COM BROTHER TN660/630/2340/2370 2,6K EVOLUT(CX C/ 10)-. ","20,00 ","PC ","20,90 ","291,43 ","418,00","30,28%"
"3946-0 ","CART. DE TONER COMP. COM BROTHER TN850/3442 8K CHMT (CX C/ 10)-. ","4,00 ","PC ","48,00 ","107,30 ","192,00","44,11%"
,"Total : ",,,,,,
,,"44,00 ",,"20,73","599,94 ","912,00","34,22%"
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12188-0 ","TINTA INKBANK EPSON EL8100/504/544 BLACK 70ML C/ CAIXA-. ","50,00 ","UN ","5,30 ","172,37 ","265,00","34,95%"
"12189-0 ","TINTA INKBANK EPSON EL8100/504/544 CYAN 70ML C/ CAIXA-. ","20,00 ","UN ","5,30 ","68,06 ","106,00","35,79%"
"12190-0 ","TINTA INKBANK EPSON EL8100/504/544 MAG 70ML C/ CAIXA-. ","20,00 ","UN ","5,30 ","67,98 ","106,00","35,87%"
"12191-0 ","TINTA INKBANK EPSON EL8100/504/544 YELL 70ML C/ CAIXA-. ","20,00 ","UN ","5,30 ","67,83 ","106,00","36,01%"
,"Total : ",,,,,,
,,"110,00 ",,"5,30","376,24 ","583,00","35,46%"
"20.165 ",ACESSÓRIOS JATO DE TINTA | DIVERSOS,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"15012-0 ","ALCOOL ISOPROPILICO QUIMAGRAF 1LT-. ","10,00 ","UN ","32,00 ","180,85 ","320,00","43,48%"
,"Total : ",,,,,,
,,"10,00 ",,"32,00","180,85 ","320,00","43,48%"
,2001.2030 LONA | UNIBANNER FUNDO PRETO,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20115061-0LONA UNIBANNER BRILHO F.P. 300x500 440g 2,50mt-. ",,"125,00 ","M2 ","7,20 ","595,26 ","900,00","33,86%"
"20115046-0LONA UNIBANNER BRILHO F.P. 300x500 440g 3,20mt-. ",,"80,00 ","M2 ","8,64 ","414,00 ","691,00","40,09%"
"20115064-0LONA UNIBANNER BRILHO FRONTLIGHT F.P. 200*300 280g 3.20mt-. ",,"55,00 ","M2 ","5,93 ","195,06 ","326,00","40,17%"
,"Total : ",,,,,,
,,"260,00 ",,"7,37","1.204,32 ","1.917,00","37,18%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0076/ ",0078
PB,SOUSA,,,,,,
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011101-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,27mt-. ",,"63,50 ","M2 ","5,67 ","215,96 ","360,00","40,01%"
"2011056-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,37mt-. ",,"68,50 ","M2 ","5,18 ","226,76 ","355,00","36,12%"
"2011115-0VINIL UNIPRO INTERM. MATTE (NV2013) C/ 1,06mt-. ",,"53,00 ","M2 ","5,60 ","174,63 ","296,80","41,16%"
"2011045-0VINIL UNIPRO UT80 ECONOMY (BV2000/NV2010) GLOSSY C/ 1,06mt-. ",,"265,00 ","M2 ","5,28 ","830,99 ","1.399,00","40,60%"
"2011046-0VINIL UNIPRO UT80 ECONOMY (BV2000/NV2010) GLOSSY C/ 1,27mt-. ",,"63,50 ","M2 ","5,12 ","192,64 ","325,00","40,73%"
